,pitch_complexity
output/sonata11-4_fragment_23.musicxml,3.5276190476190474
output/sonata02-1_fragment_47.musicxml,3.0000000000000004
output/sonata15-4_fragment_39.musicxml,1.1355311355311355
output/sonata12-1_fragment_26.musicxml,13.583333333333334
output/sonata12-4_fragment_2.musicxml,3.8999999999999995
output/sonata07-1_fragment_3.musicxml,1.6537267080745344
output/sonata15-4_fragment_32.musicxml,2.4608695652173913
output/sonata03-4_fragment_31.musicxml,1.4838709677419355
output/sonata09-1_fragment_35.musicxml,1.1419512195121952
output/sonata27-1_fragment_34.musicxml,0.8888888888888888
output/sonata25-1_fragment_30.musicxml,1.8814229249011858
output/sonata02-3_fragment_2.musicxml,2.144444444444445
output/sonata05-1_fragment_10.musicxml,0.6515151515151515
output/sonata10-3_fragment_31.musicxml,2.041958041958042
output/sonata17-2_fragment_24.musicxml,1.9705014749262535
output/sonata12-3_fragment_12.musicxml,1.6818910256410255
output/sonata06-2_fragment_36.musicxml,1.6
output/sonata26-1_fragment_36.musicxml,1.0436182669789227
output/sonata08-1_fragment_74.musicxml,4.722832722832723
output/sonata04-1_fragment_68.musicxml,2.1818181818181817
output/sonata18-4_fragment_37.musicxml,2.0133333333333336
output/sonata15-1_fragment_30.musicxml,1.3333333333333333
output/sonata14-1_fragment_12.musicxml,1.4886363636363642
output/sonata10-3_fragment_39.musicxml,2.048951048951049
output/sonata29-4_fragment_60.musicxml,1.903303787268332
output/sonata16-2_fragment_1.musicxml,2.5597883597883597
output/sonata06-2_fragment_27.musicxml,1.6684782608695652
output/sonata25-1_fragment_36.musicxml,1.8148148148148149
output/sonata15-1_fragment_70.musicxml,0.6737588652482269
output/sonata13-1_fragment_18.musicxml,2.8240601503759395
output/sonata05-1_fragment_70.musicxml,2.8000000000000003
output/sonata22-1_fragment_24.musicxml,5.9411764705882355
output/sonata16-1_fragment_4.musicxml,5.84
output/sonata08-3_fragment_23.musicxml,0.9392857142857143
output/sonata32-2_fragment_23.musicxml,9.655172413793109
output/sonata11-3_fragment_8.musicxml,3.153846153846154
output/sonata23-3_fragment_58.musicxml,2.945590994371482
output/sonata16-3_fragment_2.musicxml,1.2104430379746836
output/sonata03-4_fragment_28.musicxml,1.6666666666666665
output/sonata30-3_fragment_46.musicxml,4.319444444444445
output/sonata30-2_fragment_27.musicxml,1.2
output/sonata01-1_fragment_12.musicxml,2.2600000000000002
output/sonata30-3_fragment_30.musicxml,0.8795454545454545
output/sonata02-1_fragment_48.musicxml,2.2857142857142856
output/sonata01-1_fragment_1.musicxml,2.56627783669141
output/sonata02-1_fragment_13.musicxml,1.5384615384615383
output/sonata14-2_fragment_8.musicxml,1.8399999999999999
output/sonata15-4_fragment_29.musicxml,1.5454545454545454
output/sonata07-3_fragment_4.musicxml,1.7333333333333334
output/sonata12-1_fragment_11.musicxml,4.154963680387409
output/sonata04-4_fragment_33.musicxml,3.2272727272727275
output/sonata06-3_fragment_15.musicxml,1.5
output/sonata02-3_fragment_10.musicxml,1.95
output/sonata25-3_fragment_15.musicxml,4.476174268209666
